profession_riskclass_id,percentage_adjustment,base_price,fixed_adjustment,profession_name,product_name,insurance_tax_percentage,riskclass_name,profession_id
10564,0,0,"14,38",Mensendieck-oefentherapeut,Bedrijfsaansprakelijkheidsverzekering,21,Zorg 2Z3,ff584c4b-8c27-4f1b-b673-e33fe1df0dd2
10173,0,0,"22,5",Mensendieck-oefentherapeut,Beroepsaansprakelijkheidsverzekering,21,GZ1,ff584c4b-8c27-4f1b-b673-e33fe1df0dd2
10170,0,5,0,Mensendieck-oefentherapeut,Zakenreisverzekering,0,Travel,ff584c4b-8c27-4f1b-b673-e33fe1df0dd2
10176,0,"6,05",0,Mensendieck-oefentherapeut,Zakelijke spullen,21,Zakelijke spullen,ff584c4b-8c27-4f1b-b673-e33fe1df0dd2
10175,0,0,"4,69",Mensendieck-oefentherapeut,Ongevallenverzekering,0,Ongevallen 1,ff584c4b-8c27-4f1b-b673-e33fe1df0dd2
10172,0,"31,74",0,Mensendieck-oefentherapeut,Rechtsbijstandsverzekering,21,Rechtsbijstand 1,ff584c4b-8c27-4f1b-b673-e33fe1df0dd2
5561,0,5,0,Optometrist,Zakenreisverzekering,0,Travel,fed7ff2f-8e38-4cb7-b45b-54c0060cef2f
4974,0,"31,74",0,Optometrist,Rechtsbijstandsverzekering,21,Rechtsbijstand 1,fed7ff2f-8e38-4cb7-b45b-54c0060cef2f
3638,0,0,"12,5",Optometrist,Bedrijfsaansprakelijkheidsverzekering,21,Detailhandel 2a,fed7ff2f-8e38-4cb7-b45b-54c0060cef2f
4182,0,0,"4,69",Optometrist,Ongevallenverzekering,0,Ongevallen 1,fed7ff2f-8e38-4cb7-b45b-54c0060cef2f
5996,0,"6,05",0,Optometrist,Zakelijke spullen,21,Zakelijke spullen,fed7ff2f-8e38-4cb7-b45b-54c0060cef2f
5671,0,5,0,Verzuimadviseur,Zakenreisverzekering,0,Travel,fe6d888a-2263-4a7c-9d3c-2b53ced5628c
4545,0,0,"22,5",Verzuimadviseur,Beroepsaansprakelijkheidsverzekering,21,GZ1,fe6d888a-2263-4a7c-9d3c-2b53ced5628c
4273,0,0,"4,69",Verzuimadviseur,Ongevallenverzekering,0,Ongevallen 1,fe6d888a-2263-4a7c-9d3c-2b53ced5628c
6075,0,"6,05",0,Verzuimadviseur,Zakelijke spullen,21,Zakelijke spullen,fe6d888a-2263-4a7c-9d3c-2b53ced5628c
3834,0,0,"7,5",Verzuimadviseur,Bedrijfsaansprakelijkheidsverzekering,21,Administratief 1a,fe6d888a-2263-4a7c-9d3c-2b53ced5628c
10390,0,"16,53",0,Verzuimadviseur,Cyberverzekering,21,Cyber - alle beroepen,fe6d888a-2263-4a7c-9d3c-2b53ced5628c
5088,0,"31,74",0,Verzuimadviseur,Rechtsbijstandsverzekering,21,Rechtsbijstand 1,fe6d888a-2263-4a7c-9d3c-2b53ced5628c
8658,0,0,"4,69",Tester,Ongevallenverzekering,0,Ongevallen 1,fe4123d6-8858-4b01-876e-fe5e64f97b8f
8801,0,0,29,Tester,Beroepsaansprakelijkheidsverzekering,21,Automatisering en ICT,fe4123d6-8858-4b01-876e-fe5e64f97b8f
